Time,Latitude,Longitude,Course,Speed,Altitude,Humidity,Temperature,Pressure,roll,pitch,yaw,x,y,z,Speed
13:37:00,,,311,133,29110,,,,,,,,,,
13:37:52,37.07967582,-87.86469597,312,134,29803.00,0,4.34,7.87,23.1,0.86,161.37,-21.41,-37.43,-4.64,31.484
13:38:00,,,313,135,29803,,,,,,,,,,
13:38:23,37.07967582,-87.86469597,314,136,29803.00,0,4.59,7.09,27.88,48.13,277.27,-40.39,-19.48,-2.43,31.484
13:39:00,,,315,137,29803,,,,,,,,,,
13:39:52,37.08333333,-87.8825348,316,138,26354.00,0,4.27,10.52,322.57,286.53,337.65,-25.01,-33.05,-10.02,75.932
13:40:00,,,317,139,26354,,,,,,,,,,
13:41:00,,,318,140,22707.00,0,3.46,17.28,231.66,11.03,46.22,-34.95,-19.22,-6.76,18.52
13:41:52,37.08396337,-87.89551832,319,141,22707.00,0,2.58,25.33,330.43,351.25,350.34,-36.36,-27.09,-10.43,18.52
13:42:00,,,320,142,22707,,,,,,,,,,
13:43:00,,,321,143,19807.00,0,1.8,34.41,205.11,288.15,281.31,-6.41,-37.72,-11.65,24.076
13:43:52,37.08324725,-87.90232601,322,144,19807.00,0,0.35,45.07,266.48,294.14,285.37,-31.78,-32.42,-17.9,24.076
13:44:00,,,323,145,19807,,,,,,,,,,
13:45:00,,,324,146,17393.00,0,-1.37,57.92,67.3,318.49,184.41,-22.81,-14.76,-17.15,51.856
13:45:53,37.08397253,-87.89931502,325,147,17393.00,0,-3.49,71.82,288.34,58.74,170.76,-13.77,-22.47,-15.43,51.856
13:46:00,,,326,148,17393,,,,,,,,,,
13:47:00,,,327,149,15396.00,0,-6.3,87.71,148.94,55.95,203.53,-39.58,-18.13,-12.18,51.856
13:47:53,37.08065385,-87.88930037,328,150,15396.00,0,-9.34,105.13,77.4,358.01,38.29,-33.97,-19.96,-7.67,51.856
13:48:00,,,329,151,15396,,,,,,,,,,
13:49:00,,,330,152,13690.00,0,-12.86,124.07,222.78,10.2,57.56,-24.81,-27.19,-14.25,42.596
13:49:53,37.0760348,-87.87158059,331,153,13690.00,0,-16.1,144.44,100.62,319.16,55.58,-35.4,-17.48,-12.59,42.596
13:50:00,,,332,154,13690,,,,,,,,,,
13:51:00,,,333,155,12149.00,0,-19.14,166.02,54.36,3.57,148.68,-23.47,-23.79,-17.83,70.376
13:51:53,37.0706044,-87.85222344,334,156,12149.00,0,-21.93,188.77,3.36,57.84,34.74,-25.71,-27.53,-10.66,70.376
13:52:00,,,335,157,12149,,,,,,,,,,
13:53:00,,,336,158,10742.00,0,-23.98,213.15,192.93,44.35,124.78,-25.49,-28.19,-15.64,48.152
13:53:54,37.06398535,-87.83563553,337,159,10742.00,0,-25.2,239.48,27.11,303.52,144.15,-27.92,-25.1,-10.27,48.152
13:54:00,,,338,160,10742,,,,,,,,,,
13:55:00,,,339,161,9454.00,0,-25.72,265.36,284.03,47.85,309.35,-33.02,-23.62,-13.91,51.856
13:55:54,37.06127106,-87.82141392,340,162,9454.00,0,-25.22,291.13,165.7,281.27,230.89,-34.22,-31.58,-7.03,51.856
13:56:00,,,341,163,9454,,,,,,,,,,
13:57:00,,,342,164,8274.00,1.97,-24.56,317.52,279.79,15.52,5.64,-39.51,-36.54,-12.1,46.3
13:57:54,37.06069414,-87.80661538,343,165,8274.00,4.22,-23.27,344.41,175.58,34.93,307.69,-33.4,-26.04,-14.06,46.3
13:58:00,,,344,166,8274,,,,,,,,,,
13:59:00,,,345,167,7197.00,13.64,-21.93,372.93,168.86,357.41,252.9,-41.9,-36.69,-12.18,59.264
13:59:54,37.06279304,-87.79126557,346,168,7197.00,23.98,-20.28,401.5,232.01,52.02,348.46,-33.59,-25.49,-5.83,59.264
14:00:00,,,347,169,7197,,,,,,,,,,
14:01:00,,,348,170,6082.00,36.73,-18.12,430.55,348.62,292.14,307.65,-30.96,-20.89,-9.67,57.412
14:01:55,37.06736996,-87.77399451,349,171,6082.00,37.32,-16.12,463.38,14.04,8.54,51.64,-28.47,-19.94,-8.63,57.412
14:02:00,,,350,172,6082,,,,,,,,,,
14:03:00,,,351,173,5049.00,25.85,-13.99,497.16,36,0.69,327.47,-19.31,-22.44,-14.14,37.04
14:03:55,37.07069963,-87.75818132,352,174,5049.00,25.18,-11.65,531.17,270.25,354.01,103.82,-17.68,-26.18,-9.52,37.04
14:04:00,,,353,175,5049,,,,,,,,,,
14:05:00,,,354,176,4092.00,25.36,-9.16,565.71,303.99,310.78,18.35,-18.22,-29,-18.49,35.188
14:05:55,37.07365751,-87.74854579,355,177,4092.00,33.42,-6.66,600.59,286.74,28.78,261.19,-26.66,-32.45,-10.21,35.188
14:06:00,,,356,178,4092,,,,,,,,,,
14:07:00,,,357,179,3184.00,51.75,-4.34,636.45,341.94,14.18,203.66,-31.55,-20.7,-13.78,22.224
14:07:56,37.07459707,-87.74130952,358,180,3184.00,71.12,-2.03,673.06,337.49,41.23,32,-34.31,-29.93,-17.5,22.224
14:08:00,,,359,181,3184,,,,,,,,,,
14:09:00,,,360,182,2317.00,78.59,0.53,710.28,320.61,32.04,184.83,-30.7,-28.45,-8.68,20.372
14:09:56,37.07565934,-87.7363315,361,183,2317.00,84.45,2.94,748.72,331.62,340.97,48.77,-23.29,-13.62,-11.67,20.372
14:10:00,,,362,184,2317,,,,,,,,,,
